model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.9096813353566008,0.657139177584701,0.4151400492648366,0.5087668251137856,0.9330718537026543
RandomForest,0.9105614567526554,0.6443660314793782,0.4614805570771948,0.537501289004459,0.9410642563729699
GradientBoosting,0.9153566009104704,0.6569399947553153,0.5218161964498844,0.5814397603503133,0.944750129461896
